TEAM;WINS;LOSES
Titans;12;5
Chiefs;12;5
Bills;11;6
Bengals;10;7
Raiders;10;7
Patriots;10;7
Steelers;9;8
Colts;9;8
Dolphins;9;8
Chargers;9;8
Browns;8;9
Ravens;8;9
Broncos;7;10
Jets;4;13
Texans;4;13
Jaguars;3;14
